match_id,competition,season,match_date,team_id,player_id,player_name,player_minutes,minute,second,x,y,type,outcome,xg
M001,Serie A,2025/26,2025-02-08,FIO,p01,P. Terracciano,41,15,13,39.9,36.9,pass,complete,
M001,Serie A,2025/26,2025-02-08,FIO,p01,P. Terracciano,41,36,7,29.7,76.6,pass,complete,
M001,Serie A,2025/26,2025-02-08,FIO,p01,P. Terracciano,41,11,39,39.4,33.7,pass,incomplete,
M001,Serie A,2025/26,2025-02-08,FIO,p01,P. Terracciano,41,28,1,35.4,89,pass,complete,
M001,Serie A,2025/26,2025-02-08,FIO,p01,P. Terracciano,41,2,10,48.9,81.2,pass,complete,
M001,Serie A,2025/26,2025-02-08,FIO,p01,P. Terracciano,41,19,55,21.2,91.5,pass,complete,
M001,Serie A,2025/26,2025-02-08,FIO,p01,P. Terracciano,41,29,6,38,61.9,pass,complete,
M001,Serie A,2025/26,2025-02-08,FIO,p02,Dodô,78,74,10,47,24.9,pass,complete,
M001,Serie A,2025/26,2025-02-08,FIO,p02,Dodô,78,76,32,51.8,59.9,pass,incomplete,
M001,Serie A,2025/26,2025-02-08,FIO,p02,Dodô,78,53,27,84.6,60,shot,blocked,0.173
M001,Serie A,2025/26,2025-02-08,FIO,p02,Dodô,78,18,13,43.2,82.6,pass,complete,
M001,Serie A,2025/26,2025-02-08,FIO,p02,Dodô,78,66,7,43.4,13.1,pass,complete,
M001,Serie A,2025/26,2025-02-08,FIO,p02,Dodô,78,33,18,58.1,20.3,dribble,complete,
M001,Serie A,2025/26,2025-02-08,FIO,p02,Dodô,78,78,31,38.1,52.2,tackle,won,
M001,Serie A,2025/26,2025-02-08,FIO,p02,Dodô,78,76,51,64,36.9,pass,complete,
M001,Serie A,2025/26,2025-02-08,FIO,p02,Dodô,78,48,31,64.2,33.3,pass,complete,
M001,Serie A,2025/26,2025-02-08,FIO,p02,Dodô,78,6,50,38.1,86,pass,complete,
M001,Serie A,2025/26,2025-02-08,FIO,p02,Dodô,78,22,40,46.9,14,pass,complete,
M001,Serie A,2025/26,2025-02-08,FIO,p02,Dodô,78,17,5,49.4,21.9,foul,conceded,
M001,Serie A,2025/26,2025-02-08,FIO,p02,Dodô,78,27,44,61.7,75.2,pass,complete,
M001,Serie A,2025/26,2025-02-08,FIO,p02,Dodô,78,46,11,60,84.4,pass,complete,
M001,Serie A,2025/26,2025-02-08,FIO,p02,Dodô,78,35,4,46.6,58,pass,complete,
M001,Serie A,2025/26,2025-02-08,FIO,p02,Dodô,78,61,19,41.5,60.9,pass,complete,
M001,Serie A,2025/26,2025-02-08,FIO,p02,Dodô,78,57,22,65.3,67.2,pass,complete,
M001,Serie A,2025/26,2025-02-08,FIO,p02,Dodô,78,8,24,51.8,11.9,tackle,won,
M001,Serie A,2025/26,2025-02-08,FIO,p02,Dodô,78,17,53,43.1,64.4,tackle,won,
M001,Serie A,2025/26,2025-02-08,FIO,p02,Dodô,78,27,40,54.4,44,foul,conceded,
M001,Serie A,2025/26,2025-02-08,FIO,p02,Dodô,78,3,14,55.8,24,pass,incomplete,
M001,Serie A,2025/26,2025-02-08,FIO,p02,Dodô,78,17,19,48.1,64.1,pass,complete,
M001,Serie A,2025/26,2025-02-08,FIO,p02,Dodô,78,25,4,37.3,35.6,tackle,lost,
